PROJECT TRACKING,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Team Size: 5 members | | Total Use Cases: 52,,,,,,,,,
No.,Screen/Function,Feature,Actor,Screen/Function Description,In Charge,Status,Actual,Updated,Update Details
  >>  AUTHENTICATION,,,,,,,,,
1,Đăng nhập,Đăng nhập hệ thống,Tất cả,"Người dùng (Sinh viên, Tài xế, Phụ xe, Điều phối, Admin) đăng nhập bằng email và mật khẩu.",Nguyễn Đức Hải,Completed,iter1,,20
2,Đăng ký tài khoản,Đăng ký tài khoản sinh viên,Sinh viên,"Sinh viên tạo tài khoản bằng email trường, xác thực OTP, thiết lập mật khẩu.",Nguyễn Đức Hải,Completed,iter1,,20
3,Đăng xuất,Đăng xuất khỏi hệ thống,Tất cả,"Người dùng đăng xuất an toàn, hệ thống hủy session và access token.",Nguyễn Đức Hải,Completed,iter1,,20
4,Quên mật khẩu,Đặt lại mật khẩu qua email,Tất cả,"Người dùng yêu cầu đặt lại mật khẩu, nhận OTP qua email, xác thực và đặt mật khẩu mới.",Nguyễn Đức Hải,Completed,iter1,,20
5,Phân quyền,Điều hướng theo vai trò sau đăng nhập,Tất cả,Hệ thống xác định vai trò và điều hướng đến màn hình tương ứng (Sinh viên / Tài xế / Phụ xe / Điều phối / Admin).,Nguyễn Đức Hải,Completed,iter1,,20
  >>  SINH VIÊN,,,,,,,,,
6,Hồ sơ cá nhân,Cập nhật hồ sơ cá nhân,Sinh viên,"Sinh viên có thể cập nhật thông tin cá nhân: họ tên, SĐT, email, ảnh đại diện, địa chỉ.",Nguyễn Đức Hải,Not Started,iter1,20,20
7,Trạm dừng,Xem danh sách trạm dừng,Sinh viên,"Hiển thị danh sách các trạm dừng trên bản đồ và dạng list, bao gồm tên trạm, vị trí, tuyến đi qua.",Nguyễn Đức Hải,Not Started,iter1,20,20
8,Tìm tuyến xe,Tìm tuyến xe phù hợp,Sinh viên,"Sinh viên nhập điểm đi - điểm đến, hệ thống gợi ý tuyến xe phù hợp nhất.",Nguyễn Đức Hải,Not Started,iter1,20,20
9,Thời gian xe đến,Xem thời gian xe đến,Sinh viên,Hiển thị thời gian dự kiến xe đến trạm dừng mà sinh viên chọn (ETA).,Nguyễn Đức Hải,Not Started,iter1,20,20
10,Theo dõi xe,Theo dõi vị trí xe theo thời gian thực,Sinh viên,"Hiển thị vị trí xe trên bản đồ realtime bằng GPS, cập nhật liên tục.",Nguyễn Tấn Phú,Not Started,iter1,20,20
11,Đăng ký tuyến xe,Đăng ký sử dụng tuyến xe,Sinh viên,"Sinh viên chọn tuyến xe và đăng ký sử dụng, hệ thống xác nhận và lưu thông tin.",Nguyễn Đức Hải,Not Started,iter1,20,20
12,Quản lý tuyến xe,Đổi tuyến xe / Hủy tuyến xe,Sinh viên,Sinh viên có thể đổi sang tuyến khác hoặc hủy đăng ký tuyến xe hiện tại.,Nguyễn Đức Hải,Not Started,iter1,20,20
13,Lịch sử chuyến đi,Xem lịch sử chuyến đi,Sinh viên,"Hiển thị danh sách các chuyến đi đã thực hiện, bao gồm ngày, tuyến, giờ lên/xuống xe.",Nguyễn Đức Hải,Not Started,iter1,20,20
14,Thông báo,Nhận thông báo,Sinh viên,"Sinh viên nhận thông báo từ hệ thống: thay đổi lịch trình, tuyến, thông tin khẩn cấp.",Nguyễn Đức Hải,Not Started,iter2,20,20
15,Phản hồi chuyến xe,Gửi phản hồi về chuyến xe,Sinh viên,"Sinh viên gửi phản hồi, góp ý về chất lượng chuyến xe (sạch sẽ, đúng giờ, thái độ).",Nguyễn Đức Hải,Not Started,iter2,20,20
16,Đánh giá tài xế,Đánh giá tài xế,Sinh viên,Sinh viên đánh giá tài xế bằng sao (1-5) và nhận xét sau mỗi chuyến đi.,Nguyễn Tấn Phú,Not Started,iter2,20,20
